name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Jalsa,Yes,Yes,4.1,775,800.0,Buffet
Spice Elephant,Yes,No,4.1,787,800.0,Buffet
San Churro Cafe,Yes,No,3.8,918,800.0,Buffet
Addhuri Udupi Bhojana,No,No,3.7,88,300.0,Buffet
Grand Village,No,No,3.8,166,600.0,Buffet
Timepass Dinner,Yes,No,3.8,286,600.0,Buffet
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,800.0,Buffet
Onesta,Yes,Yes,4.6,2556,600.0,Cafes
Penthouse Cafe,Yes,No,4.0,324,700.0,other
Smacznego,Yes,No,4.2,504,550.0,Cafes
Village Café,Yes,No,4.1,402,500.0,Cafes
Cafe Shuffle,Yes,Yes,4.2,150,600.0,Cafes
The Coffee Shack,Yes,Yes,4.2,164,500.0,Cafes
Caf-Eleven,No,No,4.0,424,450.0,Cafes
San Churro Cafe,Yes,No,3.8,918,800.0,Cafes
Cafe Vivacity,Yes,No,3.8,90,650.0,Cafes
Catch-up-ino,Yes,No,3.9,133,800.0,Cafes
Kirthi's Biryani,Yes,No,3.8,144,700.0,Cafes
T3H Cafe,No,No,3.9,93,300.0,Cafes
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,400.0,Cafes
The Vintage Cafe,Yes,No,3.0,62,400.0,Cafes
Woodee Pizza,Yes,No,3.7,180,500.0,Cafes
Cafe Coffee Day,No,No,3.6,28,900.0,Cafes
My Tea House,Yes,No,3.6,62,600.0,Cafes
Hide Out Cafe,No,No,3.7,31,300.0,Cafes
CAFE NOVA,No,No,3.2,11,600.0,Cafes
Coffee Tindi,Yes,No,3.8,75,200.0,Cafes
Sea Green Cafe,No,No,3.3,4,500.0,Cafes
Cuppa,No,No,3.3,23,550.0,Cafes
Srinathji's Cafe,No,No,3.8,148,550.0,Cafes
Redberrys,Yes,No,4.0,219,600.0,Cafes
Foodiction,Yes,No,2.8,506,500.0,other
Sweet Truth,Yes,No,3.9,35,500.0,Dining
Ovenstory Pizza,Yes,No,3.9,172,750.0,Dining
Faasos,Yes,No,4.2,415,500.0,other
Behrouz Biryani,Yes,No,3.9,230,650.0,Dining
Fast And Fresh,Yes,No,2.8,91,400.0,Dining
Szechuan Dragon,Yes,No,4.2,1647,600.0,Dining
Empire Restaurant,Yes,No,4.4,4884,750.0,other
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,150.0,Dining
Chaatimes,Yes,No,3.8,133,200.0,Dining
Havyaka Mess,No,No,3.9,28,300.0,Dining
McDonald's,Yes,No,3.9,286,500.0,Dining
Domino's Pizza,Yes,No,3.9,540,800.0,Dining
Onesta,Yes,Yes,4.6,2556,600.0,other
Hotboxit,No,No,3.8,36,400.0,Dining
Kitchen Garden,Yes,No,3.6,244,300.0,Dining
Recipe,Yes,No,4.0,804,450.0,Dining
Beijing Bites,Yes,No,3.7,679,850.0,Dining
Tasty Bytes,Yes,No,3.1,245,300.0,Dining
Petoo,No,No,3.7,21,450.0,Dining
Shree Cool Point,Yes,No,4.1,28,150.0,Dining
Corner House Ice Cream,No,No,4.3,345,400.0,Dining
Biryanis And More,Yes,No,4.0,618,750.0,Dining
Roving Feast,No,No,4.0,1047,450.0,Dining
FreshMenu,Yes,No,3.9,627,450.0,Dining
Banashankari Donne Biriyani,Yes,No,3.8,104,300.0,Dining
Wamama,Yes,Yes,4.2,354,800.0,other
Five Star Chicken,No,No,3.6,55,200.0,Dining
XO Belgian Waffle,Yes,No,3.7,17,400.0,Dining
Peppy Peppers,No,No,4.2,244,800.0,other
Goa 0 Km,Yes,Yes,3.6,163,800.0,Dining
Chinese Kitchen,Yes,No,3.8,58,150.0,Dining
Jeet Restaurant,No,Yes,4.0,808,850.0,Dining
Cake of the Day,No,No,3.7,78,150.0,Dining
Kabab Magic,Yes,No,4.1,1720,400.0,Dining
Namma Brahmin's Idli,Yes,No,3.6,34,100.0,Dining
Gustoes Beer House,No,No,4.1,868,700.0,Dining
